Raw Data 		Experiment - HL60 _U937_Kokultur Bine _1_IL10_090113 (Run on LCS480 1.5.0.39)
SamplePos	SampleName	Prog#	Seg#	Cycle#	Time	Temp	465-510
A3	Sample_2	2	3	26	2655483	71.67	55.23
A3	Sample_2	2	3	27	2733983	71.67	61.02
A3	Sample_2	2	3	28	2812583	71.67	66.29
A3	Sample_2	2	3	29	2891200	71.67	71.33
A3	Sample_2	2	3	30	2969766	71.67	75.82
A3	Sample_2	2	3	31	3048266	71.67	79.94
A3	Sample_2	2	3	32	3126683	71.67	83.52
A3	Sample_2	2	3	33	3205266	71.67	86.17
A3	Sample_2	2	3	34	3283766	71.67	88.62
A3	Sample_2	2	3	35	3362366	71.67	90.31
A3	Sample_2	2	3	36	3440966	71.67	91.49
A3	Sample_2	2	3	37	3519566	71.67	92.67
A3	Sample_2	2	3	38	3598166	71.67	93.38
A3	Sample_2	2	3	39	3676750	71.67	93.74
A3	Sample_2	2	3	40	3755266	71.67	94.48
A3	Sample_2	2	3	41	3833866	71.67	94.75
A3	Sample_2	2	3	42	3912466	71.67	95.25
A3	Sample_2	2	3	43	3991050	71.67	95.52
A3	Sample_2	2	3	44	4069550	71.67	95.87
A3	Sample_2	2	3	45	4148150	71.67	96.13
A4	Sample_3	2	3	1	691600	71.79	16.60
A4	Sample_3	2	3	2	770133	71.64	16.68
A4	Sample_3	2	3	3	848716	71.64	16.67
A4	Sample_3	2	3	4	927233	71.67	16.63
A4	Sample_3	2	3	5	1005816	71.67	16.65
A4	Sample_3	2	3	6	1084316	71.67	16.65
A4	Sample_3	2	3	7	1162916	71.67	16.59
A4	Sample_3	2	3	8	1241416	71.67	16.62
A4	Sample_3	2	3	9	1320000	71.67	16.51
A4	Sample_3	2	3	10	1398500	71.67	16.56
A4	Sample_3	2	3	11	1477116	71.67	16.61
A4	Sample_3	2	3	12	1555700	71.67	16.61
A4	Sample_3	2	3	13	1634300	71.67	16.58
A4	Sample_3	2	3	14	1712900	71.67	16.59
A4	Sample_3	2	3	15	1791500	71.67	16.60
A4	Sample_3	2	3	16	1870000	71.67	16.59
A4	Sample_3	2	3	17	1948400	71.67	16.57
A4	Sample_3	2	3	18	2026883	71.67	16.58
A4	Sample_3	2	3	19	2105400	71.67	16.56
A4	Sample_3	2	3	20	2184000	71.67	16.62
A4	Sample_3	2	3	21	2262583	71.67	16.56
A4	Sample_3	2	3	22	2341200	71.67	16.58
A4	Sample_3	2	3	23	2419783	71.64	16.56
A4	Sample_3	2	3	24	2498383	71.67	16.56
A4	Sample_3	2	3	25	2576883	71.67	16.59
A4	Sample_3	2	3	26	2655483	71.67	16.59
A4	Sample_3	2	3	27	2733983	71.67	16.59
A4	Sample_3	2	3	28	2812583	71.67	16.62
A4	Sample_3	2	3	29	2891200	71.67	16.64
A4	Sample_3	2	3	30	2969766	71.67	16.67
A4	Sample_3	2	3	31	3048266	71.67	16.61
A4	Sample_3	2	3	32	3126683	71.67	16.58
A4	Sample_3	2	3	33	3205266	71.67	16.62
A4	Sample_3	2	3	34	3283766	71.67	16.64
A4	Sample_3	2	3	35	3362366	71.67	16.69
A4	Sample_3	2	3	36	3440966	71.67	16.74
A4	Sample_3	2	3	37	3519566	71.67	16.74
A4	Sample_3	2	3	38	3598166	71.67	16.70
A4	Sample_3	2	3	39	3676750	71.67	16.74
A4	Sample_3	2	3	40	3755266	71.67	16.74
